incident_id,latitude,longitude,hour_of_day
577257006,38.9818,-76.9456,1
578983415,38.9818,-76.9456,1
583492969,38.9869,-76.9456,1
824938241,38.9837,-76.9456,2
810824124,38.9851,-76.9456,2
777126679,38.9851,-76.9456,2
755778816,38.9818,-76.9456,3
760439816,38.9851,-76.9456,3
758918238,38.993,-76.9456,3
416870473,38.9851,-76.9456,6
384238620,38.9818,-76.9456,7
403993891,38.9869,-76.9456,7
48808332,38.9818,-76.9456,8
48808337,38.9818,-76.9456,8
48808338,38.9851,-76.9456,8
566030309,38.984,-76.9456,9
571317768,38.9841,-76.9456,9
603736749,38.9851,-76.9456,9
774413260,38.9818,-76.9456,22
776771928,38.9818,-76.9456,22
