latitude,longitude,hour_of_day
38.98128969,-76.94138867,15
38.98128969,-76.94138867,16
38.98128969,-76.94138867,16
38.98128969,-76.94138867,16
38.98128969,-76.94138867,16
38.98128969,-76.94138867,16
38.98128969,-76.94138867,16
38.98128969,-76.94138867,16
38.98128969,-76.94138867,17
38.98128969,-76.94138867,17
38.98128969,-76.94138867,17
38.98128969,-76.94138867,17
38.98128969,-76.94138867,17
38.98128969,-76.94138867,17
38.98128969,-76.94138867,17
38.98128969,-76.94138867,17
38.98128969,-76.94138867,18
38.98128969,-76.94138867,19
38.98128969,-76.94138867,20
38.98128969,-76.94138867,20
38.98128969,-76.94138867,20
38.9812965,-76.9448281,13
38.9813,-76.9448,11
38.9813,-76.9448,11
38.9813,-76.9425,18
38.9813,-76.9414,11
38.9813,-76.9414,12
38.9813,-76.9414,13
38.9813,-76.9414,14
38.9813,-76.9414,14
38.9813,-76.9414,15
38.9813,-76.9414,15
38.9813,-76.9414,19
38.9813,-76.9414,19
38.9813,-76.9398,9
38.9813,-76.9398,9
38.9813,-76.9398,9
38.9813,-76.9398,9
38.9813,-76.9398,12
38.9813,-76.9398,12
38.9813,-76.9398,13
38.9813,-76.9398,14
38.9813,-76.9398,15
38.9813,-76.9398,15
38.9813,-76.9398,15
38.9813,-76.9398,16
38.9813,-76.9398,17
38.9813,-76.9398,17
38.9813,-76.9398,17
38.9813,-76.9398,17
38.9813,-76.9398,17
38.9813,-76.9398,17
38.9813,-76.9398,18
38.9813,-76.9341,14
38.9813,-76.934,18
38.98131,-76.93981,9
38.98131,-76.93981,10
38.98131,-76.93981,10
38.98131,-76.93981,10
38.98131,-76.93981,13
38.98131,-76.93981,14
38.98131,-76.93981,14
38.98131,-76.93981,20
38.98132375,-76.9398132,10
38.98132375,-76.9398132,11
38.98132375,-76.9398132,12
38.98132375,-76.9398132,12
38.98132375,-76.9398132,12
38.98132375,-76.9398132,14
38.98132375,-76.9398132,14
38.98132375,-76.9398132,14
38.98132375,-76.9398132,14
38.98132375,-76.9398132,15
38.98132375,-76.9398132,15
38.98132375,-76.9398132,16
38.98132375,-76.9398132,16
38.98132375,-76.9398132,16
38.98132375,-76.9398132,16
38.98132375,-76.9398132,16
38.98132375,-76.9398132,16
38.98132375,-76.9398132,16
38.98132375,-76.9398132,16
38.98132375,-76.9398132,16
38.98132375,-76.9398132,17
38.98132375,-76.9398132,17
38.98132375,-76.9398132,17
38.98132375,-76.9398132,17
38.98132375,-76.9398132,17
38.98132375,-76.9398132,17
38.98132375,-76.9398132,17
38.98132375,-76.9398132,18
38.98132375,-76.9398132,18
38.98132375,-76.9398132,18
38.98132375,-76.9398132,18
38.98132375,-76.9398132,18
38.98132375,-76.9398132,19
38.98132375,-76.9398132,20
38.98132375,-76.9398132,20
38.9813387,-76.9355429,10
38.98139444,-76.93406774,16
38.9814,-76.9414,10
38.9814,-76.9414,12
38.9814,-76.9414,14
38.9814,-76.9414,19
38.9814,-76.9414,20
38.9814,-76.9414,20
38.9814,-76.9356,10
38.9814,-76.9356,19
38.9814,-76.9348,11
38.9814,-76.9348,19
38.9814,-76.9348,19
38.9814232,-76.9346544,17
38.9814232,-76.9346544,19
38.981448,-76.942322,20
38.9815,-76.9399,12
38.9815,-76.9399,12
38.9815,-76.9399,15
38.9815,-76.9399,17
38.9815,-76.9399,18
38.9815,-76.9399,19
38.9815,-76.9399,20
38.9815,-76.9379,13
38.9815,-76.9379,14
38.9815,-76.9379,18
38.9815,-76.9378,13
38.9815,-76.9361,12
38.9815018,-76.93791517,12
38.9815018,-76.93791517,16
38.9815018,-76.93791517,18
38.98151114,-76.93784461,15
38.98153,-76.94444,15
38.98153,-76.94444,15
38.98153,-76.94444,18
38.98155394,-76.93798551,11
38.98156972,-76.94464482,9
38.98156972,-76.94464482,9
38.98156972,-76.94464482,10
38.98156972,-76.94464482,11
38.98156972,-76.94464482,11
38.98156972,-76.94464482,15
38.98156972,-76.94464482,15
38.98156972,-76.94464482,16
38.98156972,-76.94464482,16
38.98156972,-76.94464482,16
38.98156972,-76.94464482,16
38.98156972,-76.94464482,16
38.98156972,-76.94464482,16
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,17
38.98156972,-76.94464482,18
38.98156972,-76.94464482,18
38.98156972,-76.94464482,19
38.98156972,-76.94464482,19
38.98156972,-76.94464482,20
38.98157,-76.9414,14
38.9815713,-76.941125,11
38.9815713,-76.941125,13
38.9815713,-76.941125,16
38.9815713,-76.941125,16
38.9815713,-76.941125,17
38.9815713,-76.941125,20
38.9815713,-76.941125,20
38.98158,-76.9404948,12
38.98158,-76.9404948,15
38.98158,-76.9404948,16
38.98158,-76.9404948,16
38.98158,-76.9404948,17
